"","añoLance","NOMBRE_BARCO","catch","catchsd","catchn","catche","catchl","catchr"
"102",2007,"FRIO SUR IX",4275,59.1665080571405,75,13.3903952905126,4261.60960470949,4288.39039529051
"103",2007,"FRIO SUR VIII",3092,38.9552425967478,110,7.27977005837194,3084.72022994163,3099.27977005837
"104",2007,"FRIO SUR X",990,2.87902241281237,34,0.967728827395094,989.032271172605,990.967728827395
"105",2007,"OCEAN DAWN",241049,1475.02528763543,296,168.035754886375,240880.964245114,241217.035754886
"106",2007,"UNION SUR",32207,1011.37678791788,62,251.747535795754,31955.2524642042,32458.7475357958
"107",2007,"UNZEN MARU",25700,314.992997121038,85,66.963713077082,25633.0362869229,25766.9637130771
"108",2008,"CABO DE HORNOS",157686,984.0622450624,199,136.723800718188,157549.276199282,157822.723800718
"109",2008,"DIEGO RAMIREZ",191053,1493.95502929771,165,227.952124184137,190825.047875816,191280.952124184
"110",2008,"FRIO SUR IX",390,17.1148084028617,16,8.38610201797812,381.613897982022,398.386102017978
"111",2008,"FRIO SUR X",840,34.5909929972644,22,14.4543903857827,825.545609614217,854.454390385783
"112",2008,"OCEAN DAWN",157209,1559.18384701895,198,217.176496492412,156991.823503508,157426.176496492
"113",2008,"UNION SUR",16827,547.408484951304,52,148.784587066803,16678.2154129332,16975.7845870668
"114",2008,"UNZEN MARU",55586,814.925715981287,134,137.979229217876,55448.0207707821,55723.9792292179
"115",2009,"CABO DE HORNOS",423378,1710.78462945876,283,199.319694542161,423178.680305458,423577.319694542
"116",2009,"DIEGO RAMIREZ",332200,1723.45562260521,202,237.668985021639,331962.331014978,332437.668985022
"117",2009,"FRIO SUR IX",3398,37.5682346719304,68,8.92923849224721,3389.07076150775,3406.92923849225
"118",2009,"FRIO SUR VIII",470,29.8715197522271,13,16.2380447273788,453.761955272621,486.238044727379
"119",2009,"FRIO SUR X",274,9.08245061043048,11,5.36728668843485,268.632713311565,279.367286688435
"120",2009,"OCEAN DAWN",1032437,2395.75367797052,546,200.952740474367,1032236.04725953,1032637.95274047
"121",2009,"UNION SUR",23350,1197.05425478083,18,553.000689884935,22796.9993101151,23903.0006898849
"122",2009,"UNZEN MARU",234760,1793.57686078181,213,240.867542503311,234519.132457497,235000.867542503
"123",2010,"CABO DE HORNOS",273839,1439.62704893856,223,188.949461029599,273650.05053897,274027.94946103
"124",2010,"DIEGO RAMIREZ",226032,1559.40667139196,179,228.444635132773,225803.555364867,226260.444635133
"125",2010,"FRIO SUR IX",2800,155.702362880117,31,54.8103338550234,2745.18966614498,2854.81033385502
"126",2010,"FRIO SUR X",741,27.7557625177399,18,12.8222724736924,728.177727526308,753.822272473692
"127",2010,"OCEAN DAWN",598324,1793.5634871874,456,164.619934213022,598159.380065787,598488.619934213
"128",2010,"UNION SUR",1695,127.78044024455,12,72.2972616373525,1622.70273836265,1767.29726163735
"129",2010,"UNZEN MARU",138089,736.496816015495,289,84.9121902422819,138004.087809758,138173.912190242
"130",2011,"CABO DE HORNOS",213484,1689.67570515057,172,252.515026665839,213231.484973334,213736.515026666
"131",2011,"DIEGO RAMIREZ",180111,1858.75328296725,116,338.252367498101,179772.747632502,180449.252367498
"132",2011,"FRIO SUR IX",1580,24.8556810015091,41,7.60819839936538,1572.39180160063,1587.60819839937
"133",2011,"FRIO SUR VIII",3950,67.9578615374375,34,22.8427473732865,3927.15725262671,3972.84274737329
"134",2011,"FRIO SUR X",1125,18.5596397398421,33,6.33228805991891,1118.66771194008,1131.33228805992
"135",2011,"UNION SUR",21800,722.838532226952,34,242.968475019499,21557.0315249805,22042.9684750195
"136",2011,"UNZEN MARU",355422,1481.901721814,299,167.970068566435,355254.029931434,355589.970068566
"137",2012,"CABO DE HORNOS",48739,459.215397618157,89,95.4046470815463,48643.5953529185,48834.4046470815
"138",2012,"DIEGO RAMIREZ",67259,785.803397963127,107,148.891568365514,67110.1084316345,67407.8915683655
"139",2012,"FRIO SUR IX",486,15.0947010569935,16,7.39626760727647,478.603732392724,493.396267607276
"140",2012,"FRIO SUR VIII",1790,36.2461099678969,41,11.0947511687261,1778.90524883127,1801.09475116873
"141",2012,"FRIO SUR X",48,12.1655250605964,3,13.7663346061171,34.2336653938829,61.7663346061171
"142",2012,"UNION SUR",118197,1751.25698300482,71,407.351009270017,117789.64899073,118604.35100927
"143",2012,"UNZEN MARU",235421,1783.07781906664,242,224.652215323412,235196.347784677,235645.652215323
"144",2013,"CABO DE HORNOS",23000,896.054930516357,34,301.191884902044,22698.808115098,23301.191884902
"145",2013,"DIEGO RAMIREZ",18683,1257.56874021408,22,525.494874039865,18157.5051259601,19208.4948740399
"146",2013,"FRIO SUR IX",6310,630.414726408519,22,263.42870703873,6046.57129296127,6573.42870703873
"147",2013,"UNION SUR",108858,1598.40103185901,68,379.908828412079,108478.091171588,109237.908828412
"148",2013,"UNZEN MARU",78816,881.99418656102,116,160.50361522298,78655.496384777,78976.503615223
"149",2014,"CABO DE HORNOS",19762,621.020712342642,44,183.496522335672,19578.5034776643,19945.4965223357
"150",2014,"DIEGO RAMIREZ",31067,685.085444863212,53,184.439908007652,30882.5600919923,31251.4399080077
"151",2014,"FRIO SUR VIII",11510,2062.66578764354,12,1167.04158973221,10342.9584102678,12677.0415897322
"152",2014,"FRIO SUR X",1605,101.731439163543,15,51.4822654869464,1553.51773451305,1656.48226548695
"153",2014,"UNION SUR",38433,1731.43328632668,40,536.566874816018,37896.433125184,38969.566874816
"154",2014,"UNZEN MARU",404053,2117.95475780398,204,290.636186283817,403762.363813716,404343.636186284
"155",2015,"CABO DE HORNOS",42936,1325.29503527566,76,297.957187316678,42638.0428126833,43233.9571873167
"156",2015,"DIEGO RAMIREZ",142060,1262.89338272678,177,186.049345040662,141873.950654959,142246.049345041
"157",2015,"FRIO SUR IX",446,27.7414756940616,20,12.1580143773512,433.841985622649,458.158014377351
"158",2015,"UNION SUR",141464,1245.44604754493,146,202.021030393353,141261.978969607,141666.021030393
"159",2015,"UNZEN MARU",212485,1389.91923030164,205,190.26579678371,212294.734203216,212675.265796784
"160",2016,"CABO DE HORNOS",71045,1174.29558754911,132,200.326569698705,70844.6734303013,71245.3265696987
"161",2016,"DIEGO RAMIREZ",29325,481.510699079457,87,101.179937364496,29223.8200626355,29426.1799373645
"162",2016,"FRIO SUR IX",104,57.4485276863849,3,65.0079343735931,38.9920656264069,169.007934373593
"163",2016,"FRIO SUR VIII",3,NA,1,NA,NA,NA
"164",2016,"FRIO SUR X",395,111.919401271417,7,82.9095292312255,312.090470768774,477.909529231226
"165",2016,"UNION SUR",118555,743.994309748344,222,97.8681136797455,118457.13188632,118652.86811368
"166",2016,"UNZEN MARU",406870,1773.79894792299,328,191.962130859693,406678.03786914,407061.96213086
"167",2017,"CABO DE HORNOS",45751,1331.79512340696,59,339.828270722246,45411.1717292778,46090.8282707222
"168",2017,"DIEGO RAMIREZ",71591,987.928371473166,103,190.789704961748,71400.2102950383,71781.7897049617
"169",2017,"FRIO SUR IX",264,27.8890659578266,11,16.4810819115733,247.518918088427,280.481081911573
"170",2017,"FRIO SUR VIII",80,4.08248290463863,6,3.26660664090009,76.7333933590999,83.2666066409001
"171",2017,"FRIO SUR X",892,44.2893531001476,29,16.1193835441885,875.880616455811,908.119383544189
"172",2017,"UNION SUR",4768,224.561534051933,33,76.6172372269455,4691.38276277305,4844.61723722695
"173",2017,"UNZEN MARU",212339,1208.6971010019,321,132.224841560349,212206.77515844,212471.22484156
"174",2018,"CABO DE HORNOS",2966,94.3131658997411,34,31.7015835090075,2934.29841649099,2997.70158350901
"175",2018,"DIEGO RAMIREZ",7196,74.821634112747,87,15.7222846086495,7180.27771539135,7211.72228460865
"176",2018,"FRIO SUR IX",48,3.93122696553448,11,2.32316398584074,45.6768360141593,50.3231639858407
"177",2018,"FRIO SUR X",46,14.5028732785381,3,16.4112445051082,29.5887554948918,62.4112445051082
"178",2018,"UNION SUR",24231,650.623183373387,136,109.347326981547,24121.6526730185,24340.3473269815
"179",2018,"UNZEN MARU",76124,1048.50209469986,93,213.096304942812,75910.9036950572,76337.0963049428
"180",2019,"ANTARTIC ENDEAVOUR",33,NA,1,NA,NA,NA
"181",2019,"CABO DE HORNOS",4503,204.973335294663,33,69.9340192957424,4433.06598070426,4572.93401929574
"182",2019,"DIEGO RAMIREZ",30,18.3847763108502,2,25.4795317990207,4.52046820097931,55.4795317990207
