"","añoLance","NOMBRE_BARCO","f1","f2","cpue2","cpue2sd","cpue2n","cpue2e","cpue2l","cpue2r"
"90",2006,"CABO DE HORNOS",1248.3937007874,3.11305774278346,401.018485340134,649.685778932228,254,79.8977580802877,321.120727259846,480.916243420422
"91",2006,"COTE SAINT JACQUES",2.33333333333333,0.833333333333333,2.8,10.9747184221029,3,12.4188348019546,-9.61883480195458,15.2188348019546
"92",2006,"DIEGO RAMIREZ",728.026315789474,3.05526315789474,238.285960378984,1430.76348080314,38,454.908591703721,-216.622631324737,693.194552082705
"93",2006,"FRIO SUR IX",35,3.0666666666,11.413043478509,7.60206871577987,10,4.71172442527828,6.7013190532307,16.1247679037873
"94",2006,"FRIO SUR VIII",463.343065693431,3.56265206813869,130.0556598937,362.030423603253,137,60.6223651167944,69.4332947769053,190.678025010494
"95",2006,"FRIO SUR X",997.292993630573,2.65902335455414,375.059885022258,413.144715196799,157,64.624986681676,310.434898340581,439.684871703934
"96",2006,"OCEAN DAWN",1756.6940509915,2.62544853634561,669.10245113266,1159.04085150092,353,120.909237314381,548.193213818279,790.011688447041
"97",2006,"SAINT PIERRE",1,0.583333333,1.71428571526531,NA,1,NA,NA,NA
"98",2006,"UNION SUR",235.676056338028,2.84037558685915,82.9735537188711,119.961431484579,71,27.9036204640132,55.069933254858,110.877174182884
"99",2006,"UNZEN MARU",1162.09722222222,3.25462962963889,357.059743953465,828.205234496129,72,191.302133639101,165.757610314364,548.361877592566
"100",2007,"CABO DE HORNOS",577.866666666667,3.00222222222222,192.479644707624,323.247609094789,180,47.2223025931784,145.257342114446,239.701947300802
"101",2007,"DIEGO RAMIREZ",1150.03174603175,3.0648148148254,375.236944323262,548.373525047296,126,95.7501135697389,279.486830753523,470.987057893001
"102",2007,"FRIO SUR IX",57,3.4277777778,16.6288492705567,31.6884751778662,75,7.17164528918005,9.45720398137665,23.8004945597368
"103",2007,"FRIO SUR VIII",28.1090909090909,3.66818181819091,7.66294919452872,12.7940019325978,110,2.39088209922876,5.27206709529996,10.0538312937575
"104",2007,"FRIO SUR X",29.1176470588235,2.99656862741176,9.71699656482535,5.40471266473961,34,1.81669174445456,7.90030482037079,11.5336883092799
"105",2007,"OCEAN DAWN",814.35472972973,2.47331081080068,329.256932114449,644.977236025156,296,73.4761889497866,255.780743164662,402.733121064235
"106",2007,"UNION SUR",519.467741935484,2.29301075262903,226.543962491189,550.695556515482,62,137.076756143331,89.4672063478575,363.62071863452
"107",2007,"UNZEN MARU",302.352941176471,3.57549019610588,84.5626542357094,191.657145072064,85,40.7439980859219,43.8186561497875,125.306652321631
"108",2008,"CABO DE HORNOS",792.391959798995,3.3196817420603,238.695158562764,359.051654645099,199,49.8859773592059,188.809181203558,288.58113592197
"109",2008,"DIEGO RAMIREZ",1157.89696969697,3.06767676767879,377.450773789676,1247.97893380084,165,190.420356247729,187.030417541947,567.871130037405
"110",2008,"FRIO SUR IX",24.375,2.953125,8.25396825396825,5.61008408149013,16,2.74889068749053,5.50507756647773,11.0028589414588
"111",2008,"FRIO SUR X",38.1818181818182,3.00378787872727,12.7112232032829,11.03891606454,22,4.61278467043047,8.09843853285248,17.3240078737134
"112",2008,"OCEAN DAWN",793.984848484848,2.1955387205404,361.635548057845,1050.47781458353,198,146.319558049837,215.315990008008,507.955106107682
"113",2008,"UNION SUR",323.596153846154,4.30448717967308,75.1764705849886,269.917313938751,52,73.3630135457807,1.81345703920792,148.539484130769
"114",2008,"UNZEN MARU",414.820895522388,2.91044776116418,142.528205129667,245.746611729158,134,41.6086121769563,100.919592952711,184.136817306623
"115",2009,"CABO DE HORNOS",1496.03533568905,1.92008244996113,779.151611806738,1207.88128282433,283,140.727549330337,638.424062476402,919.879161137075
"116",2009,"DIEGO RAMIREZ",1644.55445544554,2.75115511551485,597.768714010799,1311.23709847689,202,180.822985071493,416.945728939306,778.591699082292
"117",2009,"FRIO SUR IX",49.9705882352941,3.60882352938235,13.846780766209,24.9921838629269,68,5.94015588176956,7.90662488443946,19.7869366479786
"118",2009,"FRIO SUR VIII",36.1538461538462,5.63461538484615,6.41638225229694,7.34615363473617,13,3.99334122550456,2.42304102679238,10.4097234778015
"119",2009,"FRIO SUR X",24.9090909090909,2.78787878790909,8.93478260859854,15.7001228431349,11,9.27800920227146,-0.343226593672927,18.21279181087
"120",2009,"OCEAN DAWN",1890.91025641026,2.25476190477473,838.629680768524,1409.14841741427,546,118.197558796777,720.432121971747,956.827239565301
"121",2009,"UNION SUR",1297.22222222222,2.49537037033333,519.85157700215,980.510404706301,18,452.964373232371,66.887203769779,972.815950234521
"122",2009,"UNZEN MARU",1102.15962441315,2.18419405319718,504.607007239043,1119.90503200238,213,150.39710803245,354.209899206593,655.004115271493
"123",2010,"CABO DE HORNOS",1227.97757847534,2.73408071747534,449.137280632028,815.95485239896,223,107.093173679212,342.044106952815,556.23045431124
"124",2010,"DIEGO RAMIREZ",1262.74860335196,2.35037243948603,537.254684465278,1155.59986368467,179,169.289123909726,367.965560555553,706.543808375004
"125",2010,"FRIO SUR IX",90.3225806451613,4.411827957,20.4728247623191,37.0111457623579,31,13.0286606963935,7.44416406592563,33.5014854587126
"126",2010,"FRIO SUR X",41.1666666666667,3.29629629627778,12.488764045014,8.91581440177121,18,4.11882042553555,8.36994361947843,16.6075844705495
"127",2010,"OCEAN DAWN",1312.11403508772,2.68947368422149,487.87018916957,744.304392947315,456,68.315028197632,419.555160971938,556.185217367202
"128",2010,"UNION SUR",141.25,2.70138888908333,52.2879177340255,62.5153462472381,12,35.3707369871035,16.917180746922,87.6586547211291
"129",2010,"UNZEN MARU",477.81660899654,2.64002306805536,180.989558302799,345.988836469698,289,39.8897446196192,141.09981368318,220.879302922418
"130",2011,"CABO DE HORNOS",1241.18604651163,2.8609496124186,433.837087211874,821.695665092191,172,122.799009389479,311.038077822396,556.636096601353
"131",2011,"DIEGO RAMIREZ",1552.68103448276,2.6758620689569,580.254510311148,1306.41013627041,116,237.738018039464,342.516492271684,817.992528350612
"132",2011,"FRIO SUR IX",38.5365853658537,3.89430894312195,9.89561586630567,9.61902619252127,41,2.94433532828775,6.95128053801792,12.8399511945934
"133",2011,"FRIO SUR VIII",116.176470588235,4.09068627447059,28.400239664742,36.3581038060868,34,12.221087618489,16.179152046253,40.621327283231
"134",2011,"FRIO SUR X",34.0909090909091,3.73737373739394,9.12162162157232,7.79233793935777,33,2.65863611491998,6.46298550665234,11.7802577364923
"135",2011,"UNION SUR",641.176470588235,2.36519607838235,271.088082907173,759.131516143338,34,255.167673821069,15.9204090861039,526.255756728242
"136",2011,"UNZEN MARU",1188.70234113712,2.88924191749833,411.42361044186,877.986037397985,299,99.5176486613342,311.905961780526,510.941259103194
"137",2012,"CABO DE HORNOS",547.629213483146,3.36535580524719,162.725502197805,217.160411980434,89,45.1163279204846,117.60917427732,207.841830118289
"138",2012,"DIEGO RAMIREZ",628.588785046729,2.82165109030841,222.773392219101,308.154789869297,107,58.3882050929209,164.38518712618,281.161597312022
"139",2012,"FRIO SUR IX",30.375,3.6041666668125,8.42774566439888,4.77450314794806,16,2.33946355351283,6.08828211088605,10.7672092179117
"140",2012,"FRIO SUR VIII",43.6585365853659,4.67682926834146,9.3350717078557,10.1515925512768,41,3.10735120051404,6.22772050734166,12.4424229083697
"141",2012,"FRIO SUR X",16,1.972222222,8.11267605725213,4.46531607235905,3,5.05288796562254,3.05978809162959,13.1655640228747
"142",2012,"UNION SUR",1664.74647887324,3.02699530515493,549.966653743466,608.581168884483,71,141.558980648552,408.407673094914,691.525634392019
"143",2012,"UNZEN MARU",972.814049586777,2.96900826445455,327.656228254218,601.549404306177,242,75.7899654512001,251.866262803017,403.446193705418
"144",2013,"CABO DE HORNOS",676.470588235294,3.48333333326471,194.2020827508,245.866037436274,34,82.6432093913644,111.558873359436,276.845292142165
"145",2013,"DIEGO RAMIREZ",849.227272727273,1.9924242425,426.228136865923,594.493128915581,22,248.418302639963,177.80983422596,674.646439505885
"146",2013,"FRIO SUR IX",286.818181818182,3.44318181818182,83.3003300330033,317.734407497949,22,132.770318716607,-49.4699886836037,216.07064874961
"147",2013,"UNION SUR",1600.85294117647,2.81544117645588,568.597545053897,579.322351303239,68,137.693652199768,430.903892854129,706.291197253665
"148",2013,"UNZEN MARU",679.448275862069,2.9533045977069,230.063731451754,443.224617506415,116,80.6571682098955,149.406563241858,310.720899661649
"149",2014,"CABO DE HORNOS",449.136363636364,4.11969696975,109.021699152697,149.088741743607,44,44.0520985623085,64.9696005903889,153.073797715006
"150",2014,"DIEGO RAMIREZ",586.169811320755,3.32547169811321,176.266666666667,207.183030411341,53,55.7781797239088,120.488486942758,232.044846390575
"151",2014,"FRIO SUR VIII",959.166666666667,2.590277778,370.294906134452,814.444654377848,12,460.806976044285,-90.5120699098335,831.101882178737
"152",2014,"FRIO SUR X",107,1.66666666673333,64.199999997432,59.4242147660192,15,30.0722493075067,34.1277506899253,94.2722493049387
"153",2014,"UNION SUR",960.825,2.481249999975,387.234256930854,800.319315889693,40,248.016968122908,139.217288807945,635.251225053762
"154",2014,"UNZEN MARU",1980.65196078431,3.13235294116176,632.320813774487,882.944560569919,204,121.162002558618,511.158811215869,753.482816333104
"155",2015,"CABO DE HORNOS",564.947368421053,3.74342105267105,150.917398943927,464.86676656696,76,104.512874912023,46.4045240319041,255.43027385595
"156",2015,"DIEGO RAMIREZ",802.598870056497,2.84717514124294,281.893044944935,606.225308717272,177,89.3090605878349,192.5839843571,371.20210553277
"157",2015,"FRIO SUR IX",22.3,3.9016666667,5.71550619388539,6.50454429453129,20,2.85068984516774,2.86481634871765,8.56619603905312
"158",2015,"UNION SUR",968.931506849315,3.98344748856849,243.239432584441,549.820706687447,146,89.1851926589313,154.054239925509,332.424625243372
"159",2015,"UNZEN MARU",1036.51219512195,3.29756097563902,314.326923074133,561.842625751297,205,76.9105373356281,237.416385738505,391.237460409761
"160",2016,"CABO DE HORNOS",538.219696969697,3.55681818179545,151.320553781585,392.716989412966,132,66.9947568445684,84.3257969370161,218.315310626153
"161",2016,"DIEGO RAMIREZ",337.068965517241,2.46685823749425,136.638968706862,764.898764996289,87,160.728327076558,-24.0893583696961,297.36729578342
"162",2016,"FRIO SUR IX",34.6666666666667,2.19444444466667,15.7974683528306,30.0117959173818,3,33.9609201141147,-18.1634517612841,49.7583884669454
"163",2016,"FRIO SUR VIII",3,1.083333333,2.76923077008284,NA,1,NA,NA,NA
"164",2016,"FRIO SUR X",56.4285714285714,2.84523809528571,19.8326359829317,25.3760799219761,7,18.7985176489888,1.03411833394284,38.6311536319205
"165",2016,"UNION SUR",534.031531531532,3.71073573576126,143.91526898155,285.028360206197,222,37.4938189622002,106.42145001935,181.40908794375
"166",2016,"UNZEN MARU",1240.45731707317,3.46951219510976,357.530755713032,601.75820024408,328,65.1228181843314,292.4079375287,422.653573897363
"167",2017,"CABO DE HORNOS",775.440677966102,4.23672316383051,183.02840378766,285.457235166936,59,72.838860037101,110.189543750559,255.867263824761
"168",2017,"DIEGO RAMIREZ",695.058252427184,3.44708737867961,201.63638923868,371.605668301723,103,71.7648544819875,129.871534756693,273.401243720668
"169",2017,"FRIO SUR IX",24,2.48484848481818,9.65853658548364,57.702442979823,11,34.0993380949523,-24.4408015094687,43.7578746804359
"170",2017,"FRIO SUR VIII",13.3333333333333,3.486111111,3.82470119534103,1.92408586345059,6,1.53956104802502,2.285140147316,5.36426224336605
"171",2017,"FRIO SUR X",30.7586206896552,1.93390804596552,15.904903417628,67.8464792635394,29,24.6931450748188,-8.78824165719083,40.5980484924468
"172",2017,"UNION SUR",144.484848484848,3.42373737372727,42.2009145892969,100.173548845109,33,34.1778060438247,8.02310854547222,76.3787206331217
"173",2017,"UNZEN MARU",661.492211838006,3.16484942883801,209.012222133069,425.588946692197,321,46.5570993754894,162.45512275758,255.569321508559
"174",2018,"CABO DE HORNOS",87.2352941176471,4.30980392161765,20.2411282982229,28.2567183559969,34,9.49796041843613,10.7431678797868,29.7390887166591
"175",2018,"DIEGO RAMIREZ",82.7126436781609,4.57490421454023,18.0796449060679,18.7714183333653,87,3.94444180543378,14.1352031006341,22.0240867115017
