"","añoLance","NOMBRE_BARCO","hook","hooksd","hookn","hooke","hookl","hookr"
"88",2007,"FRIO SUR X",2.60763888886111,1.13033273555957,72,0.26108874349994,2.34655014536117,2.86872763236105
"89",2007,"OCEAN DAWN",2.67696202530886,1.6547312220871,395,0.163183785891266,2.51377823941759,2.84014581120013
"90",2007,"UNION SUR",2.52937158466393,1.48082022121941,122,0.262766811936019,2.26660477272792,2.79213839659995
"91",2007,"UNZEN MARU",2.83324915823232,1.15964225365941,198,0.161524917228863,2.67172424100346,2.99477407546119
"92",2008,"CABO DE HORNOS",3.43677248679365,1.36460058047016,126,0.238269454284978,3.19850303250867,3.67504194107863
"93",2008,"DIEGO RAMIREZ",3.17185185183704,1.37297184459551,135,0.231602284048879,2.94024956778816,3.40345413588592
"94",2008,"FRIO SUR IX",2.97777777774214,0.787975888565058,159,0.122479232849099,2.85529854489304,3.10025701059124
"95",2008,"FRIO SUR VIII",3.33306010932787,0.594889437323355,61,0.149286120203542,3.18377398912433,3.48234622953141
"96",2008,"FRIO SUR X",2.52845804986395,1.3796730621089,147,0.223031193538803,2.30542685632514,2.75148924340275
"97",2008,"OCEAN DAWN",2.16793842033735,1.09880573723422,249,0.136480101190978,2.03145831914637,2.30441852152833
"98",2008,"UNION SUR",3.09321839083448,1.71723909085449,145,0.279508394747556,2.81370999608693,3.37272678558204
"99",2008,"UNZEN MARU",2.79018087853488,1.1466640130449,258,0.139918268103262,2.65026261043162,2.93009914663815
"100",2009,"CABO DE HORNOS",1.96712121212273,0.899424696630785,220,0.118850649377143,1.84827056274558,2.08597186149987
"101",2009,"DIEGO RAMIREZ",2.81869488536508,1.40560460031776,189,0.200391990335555,2.61830289502952,3.01908687570063
"102",2009,"FRIO SUR IX",3.3515754560398,0.91188845869167,201,0.12606420269021,3.22551125334959,3.47763965873001
"103",2009,"FRIO SUR VIII",3.15277777783333,0.771847885569373,12,0.43670602809358,2.71607174973975,3.58948380592691
"104",2009,"FRIO SUR X",2.56430678468142,1.15830093150754,113,0.213565095814048,2.35074168886737,2.77787188049546
"105",2009,"OCEAN DAWN",2.25292164675697,0.952127152958558,502,0.0832896779973514,2.16963196875962,2.33621132475432
"106",2009,"UNION SUR",2.7987804877561,1.60652557409723,82,0.347719309277304,2.45106117847879,3.1464997970334
"107",2009,"UNZEN MARU",2.14491945476208,1.03872619986681,269,0.124128937220256,2.02079051754183,2.26904839198234
"108",2010,"CABO DE HORNOS",2.84777777772593,1.13218005412661,135,0.19098387743527,2.65679390029066,3.0387616551612
"109",2010,"DIEGO RAMIREZ",2.34166666668103,1.09263785765487,116,0.198836147624615,2.14283051905642,2.54050281430565
"110",2010,"FRIO SUR IX",3.6667388167316,0.979371160059098,231,0.126295946531798,3.5404428701998,3.7930347632634
"111",2010,"FRIO SUR VIII",3.375,1.59099025766973,2,2.20495948260756,1.17004051739244,5.57995948260756
"112",2010,"FRIO SUR X",2.98538324419786,0.914262218874595,187,0.131038242917808,2.85434500128005,3.11642148711567
"113",2010,"OCEAN DAWN",2.8319018405092,1.01834271059256,326,0.110543509931035,2.72135833057817,2.94244535044024
"114",2010,"UNION SUR",2.60185185192593,1.46456239880359,27,0.552425972383505,2.04942587954242,3.15427782430943
"115",2010,"UNZEN MARU",2.47636904760714,1.1230656677871,280,0.131544963983438,2.3448240836237,2.60791401159058
"116",2011,"CABO DE HORNOS",2.92079365079048,1.20931455175552,210,0.163560233712388,2.75723341707809,3.08435388450286
"117",2011,"DIEGO RAMIREZ",2.73076923078322,1.42547977767628,143,0.233636737394896,2.49713249338832,2.96440596817811
"118",2011,"FRIO SUR IX",3.40780141847234,0.963796524223182,235,0.123225195441083,3.28457622303126,3.53102661391342
"119",2011,"FRIO SUR VIII",4.36821705427907,1.66634629838476,86,0.352179543744664,4.0160375105344,4.72039659802373
"120",2011,"FRIO SUR X",2.86857379768159,1.04146555934574,201,0.143977614933963,2.72459618274763,3.01255141261555
"121",2011,"UNION SUR",2.90405405403604,1.71106945134202,111,0.318312900019992,2.58574115401604,3.22236695405603
"122",2011,"UNZEN MARU",2.98722741434268,1.22662855066577,321,0.134186443924404,2.85304097041828,3.12141385826708
"123",2012,"CABO DE HORNOS",3.47697368421053,1.61204256698642,76,0.362424710203585,3.11454897400694,3.83939839441411
"124",2012,"DIEGO RAMIREZ",2.87352941172941,1.11474691091864,85,0.236981751907442,2.63654765982197,3.11051116363685
"125",2012,"FRIO SUR IX",3.3316885965,0.97978042595914,152,0.155759683459963,3.17592891304004,3.48744827995996
"126",2012,"FRIO SUR VIII",4.30799549551351,1.18519857085115,148,0.190945027183456,4.11705046833006,4.49894052269697
"127",2012,"FRIO SUR X",2.76958333334167,0.956836091381127,120,0.171196553119633,2.59838678022203,2.9407798864613
"128",2012,"UNION SUR",2.66301824211443,1.35009586502969,201,0.186644273384609,2.47637396872982,2.84966251549904
"129",2012,"UNZEN MARU",2.79166666665234,1.07764974646966,256,0.132009668189328,2.65965699846302,2.92367633484167
"130",2013,"CABO DE HORNOS",2.98194444441667,1.43356011571479,24,0.573532958191033,2.40841148622563,3.5554774026077
"131",2013,"DIEGO RAMIREZ",2.2362318841087,0.927670015993353,46,0.268078938271719,1.96815294583698,2.50431082238041
"132",2013,"FRIO SUR IX",3.31361655771895,1.18696230965754,153,0.188078565784721,3.12553799193423,3.50169512350368
"133",2013,"UNION SUR",2.49656862743382,1.35936489290971,136,0.228462374582998,2.26810625285083,2.72503100201682
"134",2013,"UNZEN MARU",2.78597122299281,1.29286606146662,139,0.214928608019226,2.57104261497358,3.00089983101203
"135",2014,"CABO DE HORNOS",4.09888888891667,1.79975376729119,60,0.455392167950483,3.64349672096618,4.55428105686715
"136",2014,"DIEGO RAMIREZ",3.376344086,1.2772299987642,62,0.317922567211826,3.05842151878817,3.69426665321183
"137",2014,"FRIO SUR IX",2.84803921558824,1.33308438241673,17,0.633696445139746,2.21434277044849,3.48173566072798
"138",2014,"FRIO SUR VIII",2.76864197531111,1.04414590900958,135,0.176133675543912,2.5925082997672,2.94477565085502
"139",2014,"FRIO SUR X",2.09774774771171,0.851740601947939,111,0.158450623297715,1.939297124414,2.25619837100943
