"","añoLance","NOMBRE_BARCO","hook","hookn"
"169",2019,"CABO DE HORNOS",4.61622222225333,75
"170",2019,"DIEGO RAMIREZ",4.97222222217778,45
"171",2019,"FRIO SUR IX",3.80923694781928,83
"172",2019,"FRIO SUR VIII",4.24047619042857,14
"173",2019,"FRIO SUR X",3.54918032780328,61
"174",2019,"UNION SUR",3.51736881004435,451
"175",2019,"UNZEN MARU",3.99450549452381,273
"176",2020,"CABO DE HORNOS",5.70963855416867,83
"177",2020,"FRIO SUR IX",3.49193548390323,62
"178",2020,"FRIO SUR X",4.02528089886517,89
"179",2020,"UNION SUR",3.69641744545794,107
"180",2020,"UNZEN MARU",4.28946188340359,223
"181",2021,"CABO DE HORNOS",6.21241496590816,98
"182",2021,"FRIO SUR IX",3.85256410261538,13
"183",2021,"FRIO SUR X",3.6805555555,6
"184",2021,"UNION SUR",4.52509363293258,89
"185",2021,"UNZEN MARU",3.20370370366667,36
