"","añoLance","NOMBRE_BARCO","catch","catchsd","catchn","catche","catchl","catchr"
"54",2004,"BOSTON BEVERLEY",53160,849.887839221964,138,141.798018796078,53018.2019812039,53301.7980187961
"55",2004,"BOSTON BLEMHEIN",3240,234.463615115836,14,122.817295601807,3117.18270439819,3362.81729560181
"56",2004,"CABO DE HORNOS",270326,2010.72310019943,239,254.918531442793,270071.081468557,270580.918531443
"57",2004,"COTE SAINT JACQUES",2526,464.649545356498,5,407.275799973631,2118.72420002637,2933.27579997363
"58",2004,"FRIO SUR IX",31830,1033.00960307678,91,212.242207334298,31617.7577926657,32042.2422073343
"59",2004,"FRIO SUR VII",69445,1114.14319840969,132,190.064995097517,69254.9350049025,69635.0649950975
"60",2004,"FRIO SUR VIII",23787,1388.06332570501,42,419.790615494163,23367.2093845058,24206.7906154942
"61",2004,"OCEAN DAWN",197749,1289.19335116077,196,180.483752670257,197568.51624733,197929.48375267
"62",2004,"SAINT PIERRE",243342,2720.00946424869,147,439.703415185141,242902.296584815,243781.703415185
"63",2004,"UNZEN MARU",369151,2748.52492109445,277,323.674052676533,368827.325947323,369474.674052677
"64",2005,"BOSTON BEVERLEY",21492,4092.30900592807,9,2673.59275507598,18818.407244924,24165.592755076
"65",2005,"BOSTON BLEMHEIN",28291,1075.22166333675,81,234.155081726364,28056.8449182736,28525.1550817264
"66",2005,"CABO DE HORNOS",282647,1806.66570537377,298,205.124605926634,282441.875394073,282852.124605927
"67",2005,"COTE SAINT JACQUES",12009,1281.4108874596,16,627.879797204581,11381.1202027954,12636.8797972046
"68",2005,"FRIO SUR IX",6995,129.783797658319,65,31.5509100711672,6963.44908992883,7026.55091007117
"69",2005,"FRIO SUR VIII",987,137.327826088458,12,77.6991044466964,909.300895553304,1064.6991044467
"70",2005,"OCEAN DAWN",47256,696.592524260162,78,154.589359937849,47101.4106400622,47410.5893599378
"71",2005,"SAINT PIERRE",94822,1305.01601683534,171,195.598661143199,94626.4013388568,95017.5986611432
"72",2005,"UNZEN MARU",378154,2175.30481868933,345,229.540152253413,377924.459847747,378383.540152253
"73",2006,"BETANZOS",7623,1868.22489277924,4,1830.82675243426,5792.17324756574,9453.82675243426
"74",2006,"CABO DE HORNOS",336851,1790.01025751065,301,202.218257087992,336648.781742912,337053.218257088
"75",2006,"COTE SAINT JACQUES",277,68.8981304605022,7,51.0395114385827,225.960488561417,328.039511438583
"76",2006,"DIEGO RAMIREZ",71689,2475.70019076801,94,500.474799609638,71188.5252003904,72189.4747996096
"77",2006,"FRIO SUR IX",17340,352.87638249306,95,70.9592278459769,17269.040772154,17410.959227846
"78",2006,"FRIO SUR VIII",83960,1138.3654053951,193,160.602065231655,83799.3979347683,84120.6020652317
"79",2006,"FRIO SUR X",24211,268.352579442338,168,40.5788022806266,24170.4211977194,24251.5788022806
"80",2006,"OCEAN DAWN",442336,1429.47209988763,343,151.278327470471,442184.72167253,442487.27832747
"81",2006,"SAINT PIERRE",163,113.844191771034,2,157.777100755474,5.22289924452571,320.777100755474
"82",2006,"UNION SUR",222184,2107.49635293045,259,256.664048722291,221927.335951278,222440.664048722
"83",2006,"UNZEN MARU",234869,2255.35209334856,177,332.258277335805,234536.741722664,235201.258277336
"84",2007,"CABO DE HORNOS",162902,1315.82710764339,197,183.74427103274,162718.255728967,163085.744271033
"85",2007,"DIEGO RAMIREZ",109668,2237.69240637475,116,407.210984440326,109260.78901556,110075.21098444
"86",2007,"FRIO SUR IX",202485,1905.97117349531,195,267.514368409131,202217.485631591,202752.514368409
"87",2007,"FRIO SUR VIII",227110,2226.14812379462,220,294.16487129362,226815.835128706,227404.164871294
"88",2007,"FRIO SUR X",27975,662.83133489684,72,153.103413655389,27821.8965863446,28128.1034136554
"89",2007,"OCEAN DAWN",1012312,3465.45801849355,395,341.751307859989,1011970.24869214,1012653.75130786
"90",2007,"UNION SUR",114261,1551.64166854508,122,275.333851245583,113985.666148754,114536.333851246
